Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,1,RT Ponting (c),0,1.0,1,0,2,3.4,15,MEK Hussey,28,52.0,96,0.0,2.0,3.5,39,127
"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,2,Faisal Iqbal,27,86.0,119,0,109,42.3,187,Mohammad Yousuf (c),46,56.0,80,0.0,144.0,56.6,246,333
"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,3,RT Ponting (c),11,21.0,36,0,105,31.6,145,MEK Hussey,134,284.0,385,1.0,144.0,41.2,204,381
"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,4,Faisal Iqbal,7,9.0,18,0,34,6.6,29,Mohammad Yousuf (c),19,28.0,40,0.0,50.0,10.4,52,139
"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",1,HM Amla,14,56.0,75,0,1,0.4,2,JH Kallis,108,189.0,266,0.0,46.0,16.4,94,291
"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",2,IJL Trott,20,36.0,58,0,2,0.6,3,KP Pietersen,0,2.0,3,0.0,36.0,12.4,228,273
"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",3,HM Amla,95,156.0,229,0,31,11.1,56,JH Kallis,46,96.0,155,0.0,261.0,65.4,391,447
"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",4,IJL Trott,42,99.0,149,0,101,36.3,153,KP Pietersen,6,22.0,34,0.0,107.0,39.3,167,296
"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",1,RT Ponting (c),209,354.0,523,0,28,6.6,33,MEK Hussey,6,12.0,19,0.0,52.0,15.6,556,519
"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",2,Khurram Manzoor,0,4.0,3,0,63,22.2,90,Mohammad Yousuf (c),7,24.0,24,0.0,63.0,22.6,312,301
"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",3,RT Ponting (c),89,122.0,188,0,1,1.2,5,MEK Hussey,13,21.0,24,1.0,192.0,43.1,193,219
"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",4,Khurram Manzoor,77,239.0,306,0,11,4.6,21,Mohammad Yousuf (c),23,28.0,38,0.0,29.0,9.6,327,206
"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",1,IJL Trott,5,8.0,8,0,0,0.1,1,KP Pietersen,7,16.0,26,0.0,7.0,1.6,49,180
"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",2,HM Amla,75,138.0,216,0,36,16.3,71,JH Kallis,7,24.0,41,0.0,201.0,57.2,252,423
"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",3,IJL Trott,8,9.0,15,0,6,3.4,14,KP Pietersen,12,42.0,91,0.0,21.0,6.1,58,169
