,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
0,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,1,RT Ponting (c),0,1.0,1,0,2,3.4,127
1,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,2,Faisal Iqbal,27,86.0,119,0,109,42.3,333
2,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,3,RT Ponting (c),11,21.0,36,0,105,31.6,381
3,"3,4,5,6 January 2010 ",2009/10,1945,Sydney Cricket Ground,4,Faisal Iqbal,7,9.0,18,0,34,6.6,139
4,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",1,HM Amla,14,56.0,75,0,1,0.4,291
5,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",2,IJL Trott,20,36.0,58,0,2,0.6,273
6,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",3,HM Amla,95,156.0,229,0,31,11.1,447
7,"3,4,5,6,7 January 2010 ",2009/10,1946,"Newlands, Cape Town",4,IJL Trott,42,99.0,149,0,101,36.3,296
8,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",1,RT Ponting (c),209,354.0,523,0,28,6.6,519
9,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",2,Khurram Manzoor,0,4.0,3,0,63,22.2,301
10,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",3,RT Ponting (c),89,122.0,188,0,1,1.2,219
11,"14,15,16,17,18 January 2010 ",2009/10,1947,"Bellerive Oval, Hobart",4,Khurram Manzoor,77,239.0,306,0,11,4.6,206
12,"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",1,IJL Trott,5,8.0,8,0,0,0.1,180
13,"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",2,HM Amla,75,138.0,216,0,36,16.3,423
14,"14,15,16,17 January 2010 ",2009/10,1948,"The Wanderers Stadium, Johannesburg",3,IJL Trott,8,9.0,15,0,6,3.4,169
