,Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total,RootPosition
522,"16,17,18,19 May 2013 ",2013,2088,"Lord's, London",3,IJL Trott,56,137.0,226,0,36,8.4,40,JE Root,71.0,120.0,178,0.0,36.0,9.5,266,213.0,4
585,"5,6,7,8,9 December 2013 ",2013/14,2105,Adelaide Oval,2,JE Root,15,80.0,114,0,9,2.4,13,KP Pietersen,4.0,12.0,19,0.0,57.0,29.6,202,172.0,3
587,"5,6,7,8,9 December 2013 ",2013/14,2105,Adelaide Oval,4,JE Root,87,194.0,269,0,1,1.3,7,KP Pietersen,53.0,99.0,151,0.0,20.0,11.4,276,312.0,3
592,"13,14,15,16,17 December 2013 ",2013/14,2107,"W.A.C.A. Ground, Perth",2,JE Root,4,16.0,23,0,85,25.4,104,KP Pietersen,19.0,59.0,96,0.0,90.0,30.5,212,251.0,3
594,"13,14,15,16,17 December 2013 ",2013/14,2107,"W.A.C.A. Ground, Perth",4,JE Root,19,88.0,125,0,0,0.1,1,KP Pietersen,45.0,57.0,88,0.0,62.0,18.6,126,353.0,3
603,"26,27,28,29 December 2013 ",2013/14,2110,Melbourne Cricket Ground,1,JE Root,24,82.0,116,0,48,16.5,70,KP Pietersen,71.0,161.0,254,0.0,96.0,33.6,146,255.0,3
605,"26,27,28,29 December 2013 ",2013/14,2110,Melbourne Cricket Ground,3,JE Root,15,24.0,37,0,65,21.3,91,KP Pietersen,49.0,90.0,158,0.0,86.0,27.5,122,179.0,3
839,"29,30,31 July 2015 ",2015,2173,"Edgbaston, Birmingham",2,IR Bell,53,56.0,96,0,19,7.3,30,JE Root,63.0,75.0,113,0.0,76.0,17.2,126,281.0,4
841,"29,30,31 July 2015 ",2015,2173,"Edgbaston, Birmingham",4,IR Bell,65,90.0,120,1,11,4.1,18,JE Root,38.0,63.0,89,1.0,51.0,11.1,138,124.0,4
844,"6,7,8 August 2015 ",2015,2175,"Trent Bridge, Nottingham",2,IR Bell,1,6.0,12,0,32,11.2,47,JE Root,130.0,176.0,246,0.0,34.0,13.4,122,391.0,4
855,"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",2,IR Bell,10,42.0,67,0,30,7.1,30,JE Root,6.0,39.0,59,0.0,46.0,12.2,97,149.0,4
856,"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",3,IR Bell,13,40.0,57,0,19,12.1,49,JE Root,11.0,30.0,52,0.0,62.0,25.3,330,286.0,4
864,"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",4,JE Root,33,29.0,47,1,13,1.5,10,BA Stokes,2.0,4.0,5,0.0,29.0,4.4,57,74.0,3
873,"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,2,IR Bell,4,10.0,13,0,5,1.4,8,JE Root,88.0,141.0,227,0.0,14.0,4.1,161,242.0,4
875,"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,4,IR Bell,46,122.0,162,0,9,4.4,21,JE Root,71.0,171.0,218,0.0,19.0,9.4,183,312.0,4
877,"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,2,IR Bell,40,158.0,217,0,19,8.4,34,JE Root,4.0,14.0,19,0.0,90.0,37.2,251,306.0,4
879,"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,4,IR Bell,0,6.0,7,0,34,11.6,49,JE Root,6.0,29.0,32,0.0,34.0,13.6,241,156.0,4
920,"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",1,NRD Compton,85,236.0,383,0,3,2.5,11,JE Root,24.0,37.0,55,0.0,12.0,6.5,394,303.0,4
922,"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",3,NRD Compton,49,116.0,171,0,13,9.2,38,JE Root,73.0,128.0,192,0.0,48.0,25.3,209,326.0,4
924,"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",1,NRD Compton,45,105.0,161,0,55,16.3,78,JE Root,50.0,79.0,113,0.0,129.0,43.5,190,629.0,4
926,"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",3,NRD Compton,15,60.0,107,0,17,7.2,35,JE Root,29.0,29.0,50,0.0,19.0,8.6,142,159.0,4
930,"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",2,NRD Compton,26,68.0,93,0,10,3.5,16,JE Root,110.0,139.0,214,0.0,22.0,10.1,109,323.0,4
932,"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",4,NRD Compton,0,2.0,7,0,64,16.6,69,JE Root,4.0,13.0,16,1.0,68.0,18.4,86,74.0,4
934,"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",2,NRD Compton,19,52.0,72,0,22,5.2,20,JE Root,76.0,128.0,192,0.0,78.0,23.2,242,342.0,4
936,"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",4,NRD Compton,6,9.0,24,0,2,3.4,13,JE Root,20.0,56.0,70,0.0,8.0,6.2,26,101.0,4
944,"19,20,21 May 2016 ",2016,2203,"Headingley, Leeds",1,NRD Compton,0,3.0,3,0,49,20.1,91,JE Root,0.0,7.0,11,0.0,49.0,20.4,325,298.0,4
947,"27,28,29,30 May 2016 ",2016,2204,"Riverside Ground, Chester-le-Street",1,NRD Compton,9,34.0,46,0,39,13.6,59,JE Root,80.0,119.0,153,0.0,64.0,26.1,191,498.0,4
951,"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",1,NRD Compton,1,11.0,19,0,56,19.4,85,JE Root,3.0,9.0,8,0.0,67.0,24.3,235,416.0,4
953,"9,10,11,12,13 June 2016 ",2016,2205,"Lord's, London",3,JE Root,4,5.0,7,0,45,12.2,54,JM Vince,0.0,1.0,2,0.0,50.0,13.4,282,233.0,3
956,"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",2,JE Root,48,73.0,119,0,8,1.6,10,JM Vince,16.0,29.0,27,0.0,118.0,28.3,202,272.0,3
958,"14,15,16,17 July 2016 ",2016,2206,"Lord's, London",4,JE Root,9,30.0,50,0,19,3.1,15,JM Vince,42.0,49.0,74,0.0,32.0,7.1,65,207.0,3
962,"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",1,JE Root,254,406.0,614,0,25,6.6,30,JM Vince,18.0,30.0,33,0.0,210.0,55.4,644,589.0,3
964,"22,23,24,25 July 2016 ",2016,2208,"Old Trafford, Manchester",3,JE Root,71,48.0,59,1,68,15.5,70,,,,,,,,,,3
976,"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",1,JE Root,3,6.0,11,0,36,9.3,42,JM Vince,39.0,65.0,115,0.0,48.0,11.5,88,297.0,3
978,"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",3,JE Root,62,123.0,165,0,126,38.1,167,JM Vince,42.0,123.0,200,0.0,126.0,39.3,176,445.0,3
